Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,TotalPop18plus,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation
2023,VT,Vermont,Rutland,BRFSS,Health Status,Frequent physical distress among adults,%,Crude prevalence,14.3,,,12.3,16.5,"60,271","49,934",50021,HLTHSTAT,PHLTH,CrdPrv,Frequent Physical Distress,POINT (-73.0366949243181 43.5802475413098)
2023,MO,Missouri,Saline,BRFSS,Health Outcomes,High blood pressure among adults,%,Age-adjusted prevalence,33.0,,,29.1,37.0,"23,049","18,077",29195,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-93.2018268315702 39.1367890617691)
2022,TN,Tennessee,Cumberland,BRFSS,Health Risk Behaviors,Short sleep duration among adults,%,Age-adjusted prevalence,37.7,,,31.4,44.6,"64,760","53,834",47035,RISKBEH,SLEEP,AgeAdjPrv,Short Sleep Duration,POINT (-84.998350915423 35.9502035602926)
2023,OH,Ohio,Coshocton,BRFSS,Disability,Independent living disability among adults,%,Age-adjusted prevalence,9.9,,,8.3,11.7,"36,869","28,085",39031,DISABLT,INDEPLIVE,AgeAdjPrv,Independent Living Disability,POINT (-81.9201277213696 40.3017013117605)
2023,RI,Rhode Island,Kent,BRFSS,Health Outcomes,Depression among adults,%,Age-adjusted prevalence,25.8,,,22.6,29.3,"171,278","140,721",44003,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression,POINT (-71.5930762695537 41.6719596394176)
2023,US,United States,,BRFSS,Health Outcomes,Coronary heart disease among adults,%,Crude prevalence,6.4,,,6.2,6.5,"334,914,895","262,083,034",59,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease,
2023,GA,Georgia,Lowndes,BRFSS,Prevention,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude prevalence,76.0,,,73.4,78.6,"120,712","91,064",13185,PREVENT,BPMED,CrdPrv,High Blood Pressure Medication,POINT (-83.2675650668111 30.8338264319898)
2023,NC,North Carolina,Davidson,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults,%,Age-adjusted prevalence,7.2,,,6.1,8.4,"174,804","137,346",37057,HLTHOUT,COPD,AgeAdjPrv,COPD,POINT (-80.2126241733172 35.79334763177)
2023,TX,Texas,Bastrop,BRFSS,Disability,Mobility disability among adults,%,Age-adjusted prevalence,14.3,,,12.2,16.5,"110,778","82,035",48021,DISABLT,MOBILITY,AgeAdjPrv,Mobility Disability,POINT (-97.3120172080013 30.1036058737594)
2023,OH,Ohio,Guernsey,BRFSS,Health-Related Social Needs,Loneliness among adults,%,Crude prevalence,35.9,,,30.4,41.6,"38,089","29,668",39059,SOCLNEED,LONELINESS,CrdPrv,Loneliness,POINT (-81.494271058754 40.0520872571802)
2023,MS,Mississippi,Neshoba,BRFSS,Disability,Hearing disability among adults,%,Crude prevalence,9.5,,,8.4,10.7,"28,789","20,927",28099,DISABLT,HEARING,CrdPrv,Hearing Disability,POINT (-89.117508515357 32.7534254344088)
2023,MO,Missouri,Gasconade,BRFSS,Health-Related Social Needs,Lack of reliable transportation in the past 12 months among adults,%,Crude prevalence,7.4,,,6.2,8.9,"14,705","11,709",29073,SOCLNEED,LACKTRPT,CrdPrv,Transportation Barriers,POINT (-91.5079456512753 38.4408280646855)
2023,MT,Montana,Flathead,BRFSS,Health-Related Social Needs,Housing insecurity in the past 12 months among adults,%,Crude prevalence,8.5,,,6.8,10.6,"113,679","89,230",30029,SOCLNEED,HOUSINSECU,CrdPrv,Housing Insecurity,POINT (-114.049221286794 48.2950545655515)
2023,TX,Texas,Delta,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults,%,Age-adjusted prevalence,7.0,,,6.0,8.1,"5,520","4,187",48119,HLTHOUT,COPD,AgeAdjPrv,COPD,POINT (-95.672735117149 33.3864460647308)
2023,OH,Ohio,Montgomery,BRFSS,Health Outcomes,Obesity among adults,%,Age-adjusted prevalence,37.4,,,32.5,42.4,"533,796","415,836",39113,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-84.2906742372083 39.7546661172735)
2023,AR,Arkansas,Chicot,BRFSS,Health Outcomes,Current asthma among adults,%,Age-adjusted prevalence,11.1,,,9.8,12.6,"9,538","7,511",5017,HLTHOUT,CASTHMA,AgeAdjPrv,Current Asthma,POINT (-91.2933505574654 33.2667470395332)
2023,FL,Florida,Collier,BRFSS,Disability,Cognitive disability among adults,%,Crude prevalence,11.7,,,9.9,13.7,"404,310","339,282",12021,DISABLT,COGNITION,CrdPrv,Cognitive Disability,POINT (-81.3476396087672 26.1107666888152)
